gene	0	4	8	12	16	20	24	28	32	36	40	44
DDX11L1	0.0	0.0	0.14714125157822489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR1302-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM87B	0.0	0.0	0.0	0.0	0.09279089430436083	0.1134088639550915	0.0	0.10000072347007759	0.24541169077868505	0.0	0.0	0.15021260818672824
LINC01128	2.6798313705740853	2.3204789014494085	2.4068549966826707	2.0841799479601786	2.6091450440768873	2.4459358895569863	2.6813098242934825	2.199675485393579	2.4878979012100886	2.378095401187789	2.46854421905046	2.40083026429963
SAMD11	2.7811099745140915	2.8066065875800437	3.014199944924695	2.7328270639778127	2.2443543202001583	2.2674878572500785	2.1656225671789326	2.3780482217769543	2.5144757876277106	2.530075737697879	2.363288843336271	2.5141172091507813
KLHL17	2.691310820226303	3.2854821197595854	3.217362569419379	2.6872869317779897	3.3925839532409254	3.1730362625097794	2.6507829372806198	3.41022168924732	3.216318272165968	2.756491741712206	2.9960343567739067	3.2471771169023094
PLEKHN1	0.8782231059663823	0.8586303602212452	0.7391386752308168	0.9109229623142999	1.156351309177912	0.7489085708557113	0.4076496900394883	1.2950529413124243	1.2751799220848052	0.5325892625845806	0.8417050787159147	1.2276486714042263
ISG15	3.6033711619595388	4.1128585703253595	4.3107181967844035	4.073751695082158	3.701449251374291	3.922958964236172	4.1695722995447735	4.0598830385435285	3.6057076643718045	3.9870115538871174	4.155279697614957	4.0260121150163934
AGRN	6.819182775964461	6.891346272518331	6.906072836698435	6.985329646636039	6.990081266411842	6.814934885833408	6.854070473816844	6.971129653775223	6.768634269572581	6.939426415709886	6.861372314200592	6.88978988833676
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR200B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR200A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10	0.0	0.0	0.11294468635702941	0.09381529564162776	0.22496019302967796	0.0	0.0	0.0	0.0	0.0	0.0850807344181021	0.13752057368148682
B3GALT6	2.0458168766872142	2.220713796913717	2.3632355693335985	2.070756824817884	2.2348446325466367	2.5725501708214407	2.366064779509114	2.281104731612257	2.37775678533444	2.307792796129895	2.2791206082990163	2.359394662003353
SCNN1D	0.9522619890261889	0.8426763870792153	0.8845510350813099	0.536925218225017	0.7765192559835463	0.6872192864681905	0.852129912590939	0.5391667536653179	0.6288435706286518	0.49221519939877034	0.533682944918625	0.6991269344089424
