gene	amplitude	phase	mean	r2	p_value
ADAM17	0.1393609341789312	-1.8886447883756088	4.209411627959044	0.34085274996794657	0.1532572401094161
ADAM1A	0.2400470331884477	0.6327052331492486	1.0945206458725047	0.371762421753712	0.12346890495532703
ADAM20P1	0.20835040472474065	1.919361964232768	0.37107995288478307	0.5279985683578522	0.034099257430048935
ADAM23	-0.12397612650469242	0.7184965922709858	2.6872491414552333	0.34774307595061904	0.1461787154781311
ADAM32	0.14337435350589123	-0.12168044442819548	0.5093135032954021	0.3082934733999999	0.1903918836884989
ADAMTS2	0.1657952693740397	-1.6249367858968848	2.012046959195252	0.3235645837539576	0.17219420068146818
ADAMTS3	0.1255276763160642	0.1275681271862074	2.212326217500981	0.7334450050031571	0.0026063978786029507
ADAMTS9	0.20450637932939658	-1.6024294533052625	0.71649665436389	0.724868388085995	0.003005607159631718
ADCY1	0.130790359888891	1.2503985283642263	1.2155577247578082	0.3039442818110669	0.19583847798358667
ADCY6	-0.1194813036187503	-0.2419812486876676	3.1816774577642737	0.31014545894603873	0.18810869627282956
ADGRB3	0.21310561375190545	-0.6734169868348163	0.5525595163562786	0.44436821284850136	0.07104636701838052
ADGRD1	-0.11580065439846832	-0.42177451351903056	1.7037024184182785	0.40527446471877426	0.09647718794229654
ADGRE1	0.18441738599937532	0.26194419487316145	0.772838493894273	0.3422505753973455	0.1518001307996173
ADGRF2	0.28403193597716525	0.9317639347948324	0.668985510204489	0.4305176350516601	0.0793708917245064
ADGRG6	0.12666205092398136	-0.6977988922940441	1.508709779701384	0.5685196456833972	0.022767986230873172
ADGRL3-AS1	-0.17542833956121162	1.0471975427473095	0.08771416745229994	0.39999908090386493	0.10038842033034978
ADIRF,AGAP11	0.3162307831451569	-0.03426962159879411	3.169484668796622	0.357575573698625	0.13652091931545218
ADPRM	0.12247418049075628	1.8394722664003302	2.030934866355146	0.33196064700622574	0.16278306082555438
AFAP1L2	0.1291639865299759	0.9229096345678439	0.274189930048359	0.3592286254333824	0.1349472253485985
AFF3	0.19003772125650856	0.7782252792257079	1.5285022985853514	0.47344705104141427	0.05578137588049026
AGAP2	-0.1529488460725877	0.3070502356272673	2.9292490610252	0.4099546375357155	0.09310742287267015
AGAP6	-0.10668667593292708	0.37007552127571675	2.1086166659023218	0.34673559464208537	0.1471975151689272
AGBL2	0.10577146138271762	1.3144530256935425	0.2857086855969955	0.5670731106868848	0.02311348988042916
AGPAT5	0.15506999346963854	-1.092422307441682	3.2878812269569804	0.3344522241975396	0.16006875380779717
AKAP12	0.1440324224602851	-1.9573956606702554	4.622205806812593	0.6531603783138196	0.008522738577687594
AKAP13,MIR7706	2.1076350760839193	-0.9315125932259622	4.380109988776427	0.30370874692525596	0.19613686433124633
AKAP2,PALM2,PALM2-AKAP2	0.1260658928974149	-1.1420304017951795	4.990490577590474	0.5754383643812628	0.02117060966211881
AKAP7	0.22841777059027443	-0.12415616202253847	1.461240630401802	0.3268463442819526	0.1684666496611087
AKR1C3	-0.16815174241737196	-0.7064000613803332	3.4887732324770573	0.35384267146126935	0.14012713238138141
AKR1C4	0.12371813131804965	1.4314041876461776	0.10583628350209878	0.6049284859283179	0.015312310445320554
AKR7A2	0.12590849900582238	-1.5107065796483121	4.221233859710845	0.3098371838092071	0.18848726259908566
AKR7A2P1	0.30480693393175495	-0.2223543804090115	0.6660607608710711	0.4410902430647641	0.07295206848303681
AKR7A3	-0.18624561346896593	0.6309077156618085	0.16643441859595035	0.3916096536981638	0.10686129035368097
ALDH1A3	-0.18722048899695448	-1.0394036842699632	0.5640997793365702	0.5191341101955871	0.03707728043777758
ALDH1L1	0.20682815393840043	1.5665529341135873	1.8762356907463231	0.43349686039322555	0.07751940755750641
ALG1	0.16109535372488673	1.3294997297669582	2.6073096391495976	0.3915243054080171	0.10692876677743524
ALG10	0.20802852513662884	0.8809401954189161	2.023311166054558	0.5186345740191811	0.037250921665998304
ALKBH6	-0.10439621883639015	-0.7177456558961447	4.150568059932533	0.30023566322271145	0.2005779197279507
ALKBH8	-0.11739973029886208	-0.802925742345487	3.1333707413331986	0.339374443447791	0.15481005587139096
ALMS1P1	-0.19909880163205712	0.3615852937525824	0.8072003749206926	0.47422193117515943	0.05541292830806688
ALOX12P2	0.19370882180864668	1.133147281579099	0.23427919193252297	0.4658376388150193	0.05950175471695596
ALX3	0.17966695272035935	0.8043542293489548	1.990788785545173	0.3011706272155781	0.19937476025498824
ALX4	0.11992144927020505	0.4537491100441332	0.2067445936189737	0.4683578529075446	0.05824884452738399
AMMECR1	0.12471566451826709	1.811457605205678	1.3951176922666388	0.4442119505279175	0.07113632409102943
AMOTL2	-0.1324633432116953	0.5965993461196033	3.905281666023106	0.43519097700465925	0.07648166208625662
AMPH	0.12807176348603438	1.4106876257465788	2.228017945033415	0.37885405875559675	0.11731983213347918
ANAPC1	0.11743830082806603	0.028217375959567283	3.3572949904826563	0.5905221630667183	0.0179902335772798
ANAPC7	0.10190290207368215	0.3299304417501933	4.170244699391128	0.380372219385139	0.11603498856034611
ANGEL2	0.16146896290186294	0.07304558576109238	2.8192015992295576	0.4989837056856412	0.04459984270300943
