gene	0	4	8	12	16	20	24	28	32	36	40	44
MIR4417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KCNAB2	3.12066	3.36014	3.58143	3.89889	3.26381	3.2841	3.40241	3.41573	3.34594	4.28472	3.54203	3.63913
RNF207	1.80773	2.70884	2.9304	2.12589	3.77427	3.09758	2.26571	2.85116	2.59811	2.60303	3.54047	3.95357
LINC00337	0.128165	1.18432	1.19097	1.05766	0.965935	0.594565	0.832092	0.347873	1.12343	0.975482	0.807609	1.32964
HES3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ESPN	0.055319	0.219077	0.0	0.0830016	0.0	0.128314	0.0	0.075075	0.0	0.042104	0.0348582	0.0573901
TAS1R1	0.0	0.0	0.0850045	0.0	0.0	0.0	0.279984	0.0	0.0588016	0.0	0.0	0.0
ZBTB48	4.68914	4.12978	4.16493	5.90796	4.94019	4.31005	3.69301	6.00464	2.82059	6.53756	3.94269	4.31446
PHF13	12.9034	11.9165	11.4387	13.8631	11.9059	12.9326	12.7556	14.0885	12.9085	12.7309	12.5811	13.8823
THAP3	4.74316	4.4587	5.00443	6.8491	5.5818	6.53017	4.31012	6.36966	6.14079	7.65692	7.01343	4.04001
LOC100505887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1	42.3708	38.6368	39.6173	48.406	44.6759	52.7539	38.8944	42.8479	42.4478	59.809	49.2452	44.9323
VAMP3	27.5011	26.469	25.7961	22.4256	25.8216	25.3167	34.0373	30.0827	29.6152	30.2421	28.631	29.0078
PER3	12.9736	13.1475	9.70836	6.96362	8.87725	12.8355	16.1815	13.8707	11.6069	9.07499	11.0898	14.6515
PARK7	254.425	231.724	223.006	260.383	221.646	275.062	267.748	225.825	235.514	255.345	251.494	241.857
LOC102724539	0.0	2.50461	0.0	0.0	0.794406	0.0	0.0	0.429148	0.0	0.481355	0.398518	0.0
SLC45A1	0.633822	0.732111	1.33858	1.96143	0.646869	0.673825	0.367409	0.645133	0.694469	1.02512	0.449315	0.493164
LOC102724552	0.0	0.0	0.0	0.0	0.235894	0.0	0.0	0.254866	0.0	0.0	0.0	0.0
ENO1-AS1	4.56291	3.01171	1.9273	0.570522	2.38812	2.35195	0.0	3.09622	1.7776	1.73644	0.479205	0.788956
CA6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724571	3.07925	3.12682	5.00239	3.19856	2.38022	1.28196	6.5906	4.17893	4.4293	4.86758	3.58214	6.14332
H6PD	5.29753	5.94378	7.03144	5.40766	7.18634	6.78693	7.1606	7.82043	9.7521	8.83468	8.54807	11.035
SPSB1	20.2811	17.7651	23.4842	20.2867	18.1739	20.8101	19.7478	20.4501	17.6851	18.4657	18.4729	18.8774
SLC25A33	17.8628	17.0088	15.0899	15.2681	13.4257	15.1695	13.1724	13.0152	16.4276	16.493	14.2083	16.5569
TMEM201	8.67381	8.66444	8.59083	9.8394	9.75403	6.92478	7.09559	8.43267	8.09701	7.96846	6.87936	9.55712
PIK3CD	7.88216	7.51221	8.24113	7.58382	8.14708	7.40606	8.42512	8.10677	7.64234	7.37122	6.43678	7.99391
NMNAT1	8.70262	11.6265	11.4288	8.16473	14.1057	9.1376	9.16745	11.1633	8.43738	12.2496	10.6431	8.96868
MIR5697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE4B	24.6062	22.8532	22.8187	22.7999	21.4737	18.869	22.6633	21.9196	18.7174	21.2737	21.0783	20.8321
KIF1B	13.7032	15.5465	13.9015	13.9397	15.4211	14.4126	14.6997	13.7403	14.291	14.2934	13.36	12.0856
MIR1273D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.07	0.0	0.0	0.0	0.0
RNU6-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGD	115.439	104.928	106.126	113.798	92.8582	102.451	97.4962	91.1241	89.4671	98.465	90.026	93.1338
APITD1,APITD1-CORT,CORT	30.9361	27.1078	23.0349	34.8011	24.9523	31.409	21.0391	24.7928	28.4884	26.7579	27.2531	24.9126
PEX14	20.8052	20.7041	18.567	22.812	19.8346	17.9833	17.2182	19.9819	22.1335	18.0276	16.4043	21.9161
TARDBP	62.8776	57.031	57.9211	56.4266	57.7522	63.6148	61.5928	57.3554	59.1755	56.025	57.2498	57.6665
MTOR-AS1	2.19971	1.93587	2.78736	0.82512	1.84204	0.850379	2.38021	1.24387	0.856956	1.11615	2.31017	1.14103
ANGPTL7	0.0	0.0	0.0	0.0	0.0554125	0.0682165	0.0	0.119738	0.103116	0.0	0.0555959	0.0
UBIAD1	7.73529	8.59151	9.28352	8.1243	8.54367	7.96055	8.2628	8.36201	8.72872	7.71455	8.23579	9.46383
PTCHD2	0.0	0.0484944	0.0930998	0.0826786	0.023072	0.0568064	0.0	0.0498552	0.0644015	0.0279601	0.0231484	0.152445
LOC101929181	3.91948	4.04925	4.60667	4.09102	4.38813	3.1622	4.10938	4.27851	6.47288	3.11286	4.51004	4.06621
FBXO44	10.6999	11.7699	11.6388	11.8902	10.7429	12.1934	11.1356	14.2579	11.2068	10.7041	13.452	14.7627
FBXO6	1.23153	2.70954	2.08071	2.36109	2.57822	1.69278	2.28443	3.06413	1.75918	1.14563	2.0694	2.12939
DRAXIN	2.69793	4.18088	4.65734	4.13601	5.45168	4.17194	5.11332	5.01457	4.31844	6.16028	4.21316	5.23279
AGTRAP	28.2077	34.1439	43.8941	41.8159	34.496	39.0424	43.2517	35.4073	39.0055	41.0824	41.0906	40.8357
C1orf167	0.0	0.0	0.0	0.0	0.0258708	0.0	0.0382047	0.0279515	0.0	0.0313519	0.0	0.0
CLCN6,NPPA-AS1	9.03325	9.53565	10.6729	8.14579	9.12821	7.10649	6.98774	10.1219	10.1335	7.83952	9.21598	7.26884
RNU5E-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLOD1	115.623	113.636	120.058	131.455	126.369	125.286	116.09	130.071	107.493	134.641	125.722	120.099
MFN2	34.357	27.8645	29.2395	27.9357	27.9644	28.9818	28.55	25.76	27.6992	26.6008	27.324	29.0747
MIIP	16.5952	14.1483	17.0371	19.3665	14.2588	17.4644	14.9641	15.171	13.671	16.8411	15.1048	15.0645
MIR6729	0.0	0.0	0.0	0.0	0.0	859.726	0.0	0.0	649.781	0.0	0.0	0.0
TNFRSF8	0.21708	0.0	0.0458326	0.122137	0.0340739	0.0419483	0.0503199	0.215199	0.15857	0.0826034	0.0341875	0.112593
MIR7846,TNFRSF1B	0.26512	0.769958	0.358344	0.159116	0.399622	0.368971	0.147536	0.503723	0.464781	0.363215	0.400945	0.165028
MIR4632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VPS13D	4.66248	4.01852	4.78002	4.20201	4.95091	4.25093	4.87619	4.7454	5.02937	4.62051	4.21468	4.71756
SNORA59A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF12	0.0	0.0	0.0	0.0877208	0.0734373	0.0	0.216897	0.0	0.068329	0.355983	0.0736803	0.0
PRAMEF1	0.0	0.191905	0.0	0.0	0.0	0.0	0.0	0.0986448	0.0	0.110645	0.0	0.0
PRAMEF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF34P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF33P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF16	0.267319	0.35212	0.225822	0.0	0.167526	0.0	0.0	0.0	0.0781058	0.0	0.0	0.0
PRAMEF20	0.0	0.0	0.0	0.0	0.0	0.102153	0.0	0.0	0.0	0.0	0.0	0.0
PDPN	12.4977	14.4519	11.5772	13.0813	12.9981	11.4656	12.3851	13.9966	11.6053	13.8739	12.0216	13.4842
PRDM2	10.4941	11.6841	12.1624	12.1365	11.8821	10.2232	11.6357	11.5656	12.8428	12.8942	13.0519	11.619
KAZN	3.27731	3.06264	2.20203	3.27103	3.22875	3.16651	1.93474	3.16468	3.04762	3.69308	3.406	3.65166
TMEM51	10.7141	13.9911	10.2515	13.5525	14.1733	12.7364	10.3913	13.2874	11.0536	14.9025	13.2401	12.8604
FHAD1	0.753363	1.1934	0.572775	0.621697	0.68607	0.349489	0.698726	0.869048	0.946514	0.573394	0.973171	1.21143
EFHD2	85.8328	68.4445	73.5616	90.2616	89.8632	78.6985	70.6683	76.9619	65.5983	89.3601	76.914	69.9957
CTRC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.179691	0.0	0.0	0.0	0.0
CELA2A	0.0	0.0	0.0	0.385674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CELA2B	0.0	0.0	0.64871	0.0	0.0	0.395822	0.712223	0.173693	0.0	0.0	0.0	0.0
DNAJC16	5.27658	5.98799	6.07928	6.24984	6.60345	6.35528	5.84382	6.98737	6.91585	6.07106	6.11615	5.45947
DDI2,RSC1A1	8.50778	9.83892	10.4405	7.80306	8.78695	8.99447	9.44387	7.39257	8.03194	9.19534	9.16097	8.24885
PLEKHM2	30.4865	27.2846	26.627	29.8137	26.9358	27.2397	23.9623	27.3171	23.9092	26.779	25.6633	28.4602
SLC25A34	0.83395	2.28645	1.78833	0.962517	1.57129	1.23998	0.773468	1.6106	1.27456	1.12298	1.57649	1.26448
TMEM82	0.0	0.0	0.0	0.0	0.0	0.134118	0.0	0.0	0.0	0.0	0.0	0.0
FBLIM1	12.1262	15.6587	12.1519	11.2703	15.6237	12.3305	9.7705	9.67432	11.8604	10.6181	9.66829	11.0664
SPEN	10.7002	10.3868	11.1341	10.083	11.5178	10.6166	11.3582	11.1561	10.0725	10.2646	10.2633	9.95739
MIR5096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCNKA	0.0	0.0	0.21187	0.0627107	0.0524995	0.129272	0.0	0.0	0.0	0.0	0.0526733	0.0
CLCNKB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
