tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_000031	0.106941	0.297556	0	0.0725664	0.361362	0.187478	0.561597	0.406971	0.201494	0.202161	0.413421	0.332835
XLOC_000032	14.9193	13.273	12.0803	10.6525	12.3615	11.8863	13.4013	11.5523	14.3808	12.1518	12.7421	11.9398
XLOC_000033	13.01	12.7799	11.788	11.7103	13.2224	11.7264	12.0686	12.3203	12.372	13.5088	11.1451	11.5194
XLOC_000034	27.3531	22.7794	21.531	25.5803	25.0907	22.1776	24.2818	25.2627	22.9587	24.1544	25.1233	23.1758
XLOC_000035	0.0828201	0.38404	0.328012	0.196586	0.244892	0.282522	0.105199	0.0945564	0.390017	0.182554	0.352367	0.214816
XLOC_000036	0.816934	1.4497	1.69488	1.96971	1.5293	1.46793	1.66352	1.44463	1.78803	2.25123	1.51062	1.96902
XLOC_000037	0	0	0.491804	0	0.314723	0	0	0.283556	0.467968	0.234759	0	0.773006
XLOC_000038	14.2446	16.1904	13.0044	16.1538	15.866	13.0002	15.5095	13.1596	13.8909	14.238	14.4238	12.9558
XLOC_000039	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000040	0	0.0201276	0.0286477	0.0737701	0.0550909	0.0126816	0.032606	0	0.0272968	0.0273871	0.0336041	0.0450897
XLOC_000041	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000042	0.681653	0.505773	0.989823	1.29513	1.32443	0.916168	1.78983	1.50456	1.41277	0.773155	1.26489	1.34363
XLOC_000043	9.52105	10.7502	7.86903	11.6292	11.5401	11.6597	13.2296	12.7288	12.9994	13.0424	10.5621	13.3991
XLOC_000044	1.90163	2.35018	2.29755	2.11013	2.18285	2.41976	2.37486	2.29746	2.28634	1.57602	2.70829	1.8171
XLOC_000045	0	0	0	0	0	0	0	0	0.0586754	0	0	0
XLOC_000046	1.74704	0.995539	3.54671	2.76623	4.42796	3.92779	4.8061	4.08522	5.48669	4.77073	2.70172	4.22928
XLOC_000047	2.12509	2.10159	1.88335	1.34333	1.30654	1.6659	1.81141	1.57946	2.15699	1.67568	1.3393	1.28362
XLOC_000048	0.315868	0.87888	1.5289	1.35746	0.88945	0.799856	1.10584	0.400685	1.4548	0.530768	0.407035	0.764619
XLOC_000049	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000050	0	0.0912824	0	0	0	0.0575134	0	0	0	0	0	0
XLOC_000051	0.067689	0.0627799	0	0	0	0.0395551	0.0507808	0	0	0	0.0523353	0
XLOC_000052	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000053	3.12066	3.40241	3.36014	3.41573	3.58143	3.34594	3.89889	4.28472	3.26381	3.54203	3.2841	3.63913
XLOC_000054	1.80773	2.26571	2.70884	2.85116	2.9304	2.59811	2.12589	2.60303	3.77427	3.54047	3.09758	3.95357
XLOC_000055	0.128165	0.832092	1.18432	0.347873	1.19097	1.12343	1.05766	0.975482	0.965935	0.807609	0.594565	1.32964
XLOC_000056	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000057	0.055319	0	0.219077	0.075075	0	0	0.0830016	0.042104	0	0.0348582	0.128314	0.0573901
XLOC_000058	0	0.279984	0	0	0.0850045	0.0588016	0	0	0	0	0	0
XLOC_000059	4.68914	3.69301	4.12978	6.00464	4.16493	2.82059	5.90796	6.53756	4.94019	3.94269	4.31005	4.31446
XLOC_000060	12.9034	12.7556	11.9165	14.0885	11.4387	12.9085	13.8631	12.7309	11.9059	12.5811	12.9326	13.8823
XLOC_000061	4.74316	4.31012	4.4587	6.36966	5.00443	6.14079	6.8491	7.65692	5.5818	7.01343	6.53017	4.04001
XLOC_000062	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000063	42.3708	38.8944	38.6368	42.8479	39.6173	42.4478	48.406	59.809	44.6759	49.2452	52.7539	44.9323
XLOC_000064	27.5011	34.0373	26.469	30.0827	25.7961	29.6152	22.4256	30.2421	25.8216	28.631	25.3167	29.0078
XLOC_000065	12.9736	16.1815	13.1475	13.8707	9.70836	11.6069	6.96362	9.07499	8.87725	11.0898	12.8355	14.6515
XLOC_000066	254.425	267.748	231.724	225.825	223.006	235.514	260.383	255.345	221.646	251.494	275.062	241.857
XLOC_000067	0	0	2.50461	0.429148	0	0	0	0.481355	0.794406	0.398518	0	0
XLOC_000068	0.633822	0.367409	0.732111	0.645133	1.33858	0.694469	1.96143	1.02512	0.646869	0.449315	0.673825	0.493164
XLOC_000069	0	0	0	0.254866	0	0	0	0	0.235894	0	0	0
XLOC_000070	4.56291	0	3.01171	3.09622	1.9273	1.7776	0.570522	1.73644	2.38812	0.479205	2.35195	0.788956
XLOC_000071	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000072	3.07925	6.5906	3.12682	4.17893	5.00239	4.4293	3.19856	4.86758	2.38022	3.58214	1.28196	6.14332
XLOC_000073	5.29753	7.1606	5.94378	7.82043	7.03144	9.7521	5.40766	8.83468	7.18634	8.54807	6.78693	11.035
XLOC_000074	20.2811	19.7478	17.7651	20.4501	23.4842	17.6851	20.2867	18.4657	18.1739	18.4729	20.8101	18.8774
XLOC_000075	17.8628	13.1724	17.0088	13.0152	15.0899	16.4276	15.2681	16.493	13.4257	14.2083	15.1695	16.5569
XLOC_000076	8.67381	7.09559	8.66444	8.43267	8.59083	8.09701	9.8394	7.96846	9.75403	6.87936	6.92478	9.55712
XLOC_000077	7.88216	8.42512	7.51221	8.10677	8.24113	7.64234	7.58382	7.37122	8.14708	6.43678	7.40606	7.99391
XLOC_000078	8.70262	9.16745	11.6265	11.1633	11.4288	8.43738	8.16473	12.2496	14.1057	10.6431	9.1376	8.96868
XLOC_000079	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000080	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000081	24.6062	22.6633	22.8532	21.9196	22.8187	18.7174	22.7999	21.2737	21.4737	21.0783	18.869	20.8321
XLOC_000082	13.7032	14.6997	15.5465	13.7403	13.9015	14.291	13.9397	14.2934	15.4211	13.36	14.4126	12.0856
XLOC_000083	0	0	0	140.07	0	0	0	0	0	0	0	0
XLOC_000084	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000085	115.439	97.4962	104.928	91.1241	106.126	89.4671	113.798	98.465	92.8582	90.026	102.451	93.1338
XLOC_000086	30.9361	21.0391	27.1078	24.7928	23.0349	28.4884	34.8011	26.7579	24.9523	27.2531	31.409	24.9126
XLOC_000087	20.8052	17.2182	20.7041	19.9819	18.567	22.1335	22.812	18.0276	19.8346	16.4043	17.9833	21.9161
